datetime,wavelengths,mean,std,max,min
20200102205744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.5054, 0.418895, 44.148792, 39.543507, 75.25741, 86.682304, 73.89348, 0.476369, 0.642334, 3.083788, 13.299098]","[1.66395, 0.23421, 15.678604, 12.015995, 23.308695, 25.213371, 16.589586, 1.535168, 2.07688, 1.061819, 4.411772]","[18.59288, 3.556224, 69.2024, 63.104275, 111.33437, 126.49505, 98.977135, 20.28078, 26.54858, 6.546354, 23.250425]","[0.0, 0.0, 1.901164, 8.524796, 5.535963, 8.003202, 14.184621, 0.0, 0.0, 0.158044, 0.617952]"
20200102235744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.113768, 0.381355, 43.640556, 39.14828, 74.595215, 86.09168, 73.71326, 0.06892, 0.127065, 3.075656, 13.278326]","[1.130732, 0.236031, 15.392918, 11.794925, 22.860373, 24.73599, 16.263288, 0.752719, 1.33491, 1.0481, 4.33697]","[18.918255, 3.556224, 69.45589, 63.208233, 110.51423, 124.271935, 99.76517, 20.28078, 27.049498, 6.629534, 23.366293]","[0.0, 0.0, 1.901164, 8.316874, 5.330927, 8.225512, 14.027015, 0.0, 0.0, 0.149726, 0.540708]"
20200103045743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.818302, 0.417973, 43.57074, 38.994793, 74.573654, 86.13388, 73.85973, 0.861981, 1.080077, 3.074942, 13.317261]","[1.790834, 0.233422, 15.009069, 11.545501, 22.20744, 23.938087, 15.684354, 1.9074, 2.391986, 1.01883, 4.199146]","[17.918888, 3.556224, 68.56867, 62.16862, 109.89913, 122.71575, 98.81953, 20.28078, 24.60057, 6.621217, 23.173182]","[0.0, 0.0, 2.027909, 8.316874, 5.535963, 8.670135, 14.342229, 0.0, 0.0, 0.141408, 0.656574]"
20200103055744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.087095, 0.435165, 43.950275, 39.227, 75.139854, 86.67837, 74.06331, 1.147722, 1.458797, 3.077487, 13.339366]","[1.766188, 0.233464, 15.104698, 11.620873, 22.341953, 24.026922, 15.649548, 2.005068, 2.519302, 1.015859, 4.183531]","[12.480472, 3.21231, 74.39891, 61.85674, 116.460266, 128.94046, 98.66193, 16.086916, 19.92535, 6.554672, 23.211803]","[0.0, 0.0, 1.901164, 8.212912, 5.740999, 8.670135, 15.287869, 0.0, 0.0, 0.158044, 0.656574]"
20200103085744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[2.533048, 0.549714, 46.240337, 40.726658, 78.569214, 90.00357, 75.29033, 2.568104, 3.294506, 3.089446, 13.455969]","[2.510293, 0.313263, 16.267382, 12.570416, 24.153711, 25.760422, 16.24225, 2.73576, 3.448119, 1.013159, 4.232398]","[17.31462, 3.556224, 102.28266, 75.68354, 152.95662, 166.28874, 110.32484, 20.28078, 25.49109, 6.612899, 25.876719]","[0.0, 0.0, 2.154653, 8.628756, 6.15107, 9.114757, 14.815049, 0.0, 0.0, 0.17468, 0.695195]"
20200103115744,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.669008, 0.681756, 47.749535, 41.76414, 80.69062, 92.02747, 75.96162, 3.827909, 4.870116, 3.082788, 13.48607]","[2.822503, 0.377794, 17.463001, 13.465917, 26.062998, 27.789068, 17.175867, 3.081648, 3.877616, 1.014993, 4.364921]","[13.410115, 3.362315, 117.99896, 85.14398, 174.6904, 186.96367, 117.57475, 20.28078, 24.767544, 6.729352, 27.537464]","[0.0, 0.003659, 2.408142, 9.0446, 6.561142, 9.559381, 16.233513, 0.0, 0.0, 0.191317, 0.540708]"
20200103125743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[3.448926, 0.661966, 47.49958, 41.600834, 80.286964, 91.67496, 75.75223, 3.704677, 4.690356, 3.076167, 13.437735]","[2.664599, 0.363208, 17.56024, 13.508699, 26.248388, 28.071093, 17.426325, 3.080789, 3.856718, 1.020255, 4.42049]","[13.503079, 3.391584, 116.85826, 84.312294, 172.22997, 185.4075, 117.57475, 20.28078, 24.043997, 6.762624, 25.91534]","[0.0, 0.0, 1.77442, 8.940638, 5.125892, 8.225512, 14.184621, 0.0, 0.0, 0.13309, 0.617952]"
20200103135743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[2.993982, 0.609474, 46.90604, 41.246372, 79.394165, 90.72642, 75.36642, 3.35446, 4.212354, 3.067319, 13.382236]","[2.453902, 0.334332, 17.410456, 13.3812, 26.050644, 27.939238, 17.529634, 3.045532, 3.781134, 1.024164, 4.465735]","[12.550195, 3.215968, 111.28151, 81.19347, 165.46379, 179.40509, 115.368256, 19.842615, 23.654396, 6.754307, 24.10011]","[0.0, 0.0, 1.901164, 8.940638, 5.535963, 8.447824, 14.027015, 0.0, 0.0, 0.149726, 0.57933]"
20200103155743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[1.699649, 0.50366, 45.31885, 40.267426, 77.02629, 88.43961, 74.383804, 2.111291, 2.588853, 3.049025, 13.252181]","[1.844727, 0.274911, 16.702019, 12.812619, 24.96723, 26.940424, 17.301361, 2.622018, 3.265586, 1.023639, 4.484513]","[11.550827, 3.508662, 92.52335, 71.21322, 142.49979, 154.72856, 107.3303, 18.757635, 22.48559, 6.820852, 24.254597]","[0.0, 0.0, 2.027909, 8.732716, 5.330927, 8.670135, 13.869407, 0.0, 0.0, 0.149726, 0.57933]"
20200103185743,"[1.64, 3.92, 8.7, 9.66, 10.8, 12.0, 13.4, 0.64, 0.81, 6.25, 7.35]","[0.829972, 0.427539, 43.78645, 39.302345, 74.73365, 86.119804, 73.496025, 0.982941, 1.234357, 3.039759, 13.152058]","[1.694194, 0.23119, 15.913261, 12.129601, 23.70112, 25.613716, 16.731668, 2.055096, 2.642212, 1.011637, 4.426602]","[17.10545, 3.289142, 74.90589, 63.31219, 127.94226, 139.16678, 100.3956, 20.28078, 25.351946, 6.87076, 23.945621]","[0.0, 0.0, 2.027909, 8.628756, 5.740999, 8.892446, 14.972655, 0.0, 0.0, 0.182998, 0.617952]"
